zip_code,city,state,county,area
75001,Addison,TX,Dallas County,a
75002,Allen,TX,Collin County,c
75006,Carrollton,TX,Dallas County,b
75007,Carrollton,TX,Denton County,b
75009,Celina,TX,Collin County,
75010,Carrollton,TX,Denton County,b
75011,Carrollton,TX,Dallas County,b
75013,Allen,TX,Collin County,c
75014,Irving,TX,Dallas County,a
75015,Irving,TX,Dallas County,a
75016,Irving,TX,Dallas County,a
75017,Irving,TX,Dallas County,a
75019,Coppell,TX,Dallas County,a
75020,Denison,TX,Grayson County,
75021,Denison,TX,Grayson County,
75022,Flower Mound,TX,Denton County,b
75023,Plano,TX,Collin County,b
75024,Plano,TX,Collin County,b
75025,Plano,TX,Collin County,b
75026,Plano,TX,Collin County,b
75027,Flower Mound,TX,Denton County,b
75028,Flower Mound,TX,Denton County,b
75029,Lewisville,TX,Denton County,b
75030,Rowlett,TX,Dallas County,
75032,Rockwall,TX,Rockwall County,
75033,Frisco,TX,Denton County,c
75034,Frisco,TX,Collin County,c
75035,Frisco,TX,Collin County,c
75036,Frisco,TX,Denton County,c
75037,Irving,TX,Dallas County,a
75038,Irving,TX,Dallas County,a
75039,Irving,TX,Dallas County,a
75040,Garland,TX,Dallas County,b
75041,Garland,TX,Dallas County,b
75042,Garland,TX,Dallas County,b
75043,Garland,TX,Dallas County,b
75044,Garland,TX,Dallas County,b
75045,Garland,TX,Dallas County,b
75046,Garland,TX,Dallas County,b
75047,Garland,TX,Dallas County,b
75048,Sachse,TX,Dallas County,
75049,Garland,TX,Dallas County,b
75050,Grand Prairie,TX,Dallas County,a
75051,Grand Prairie,TX,Dallas County,
75052,Grand Prairie,TX,Dallas County,b
75053,Grand Prairie,TX,Dallas County,
75054,Grand Prairie,TX,Tarrant County,b
75056,SUNNYDALE,TX,Denton County,
75057,Lewisville,TX,Denton County,b
75058,Gunter,TX,Grayson County,
75060,Irving,TX,Dallas County,a
75061,Irving,TX,Dallas County,a
75062,Irving,TX,Dallas County,a
75063,Irving,TX,Dallas County,a
75065,Lake Dallas,TX,Denton County,c
75067,Lewisville,TX,Denton County,b
75068,Little Elm,TX,Denton County,c
75069,Mckinney,TX,Collin County,c
75070,Mckinney,TX,Collin County,c
75071,Mckinney,TX,Collin County,c
75072,Mckinney,TX,Collin County,c
75074,Plano,TX,Collin County,b
75075,Plano,TX,Collin County,b
75076,Pottsboro,TX,Grayson County,
75077,Lewisville,TX,Denton County,b
75078,Prosper,TX,Collin County,
75080,Richardson,TX,Dallas County,b
75081,Richardson,TX,Dallas County,b
75082,Richardson,TX,Collin County,b
75083,Richardson,TX,Dallas County,b
75085,Richardson,TX,Dallas County,b
75086,Plano,TX,Collin County,b
75087,Rockwall,TX,Rockwall County,
75088,Rowlett,TX,Dallas County,
75089,Rowlett,TX,Dallas County,
75090,Sherman,TX,Grayson County,
75091,Sherman,TX,Grayson County,
75092,Sherman,TX,Grayson County,
75093,Plano,TX,Collin County,b
75094,Plano,TX,Collin County,b
75097,Weston,TX,Collin County,
75098,Wylie,TX,Collin County,c
75099,Coppell,TX,Dallas County,a
75101,Bardwell,TX,Ellis County,
75104,Cedar Hill,TX,Dallas County,c
75106,Cedar Hill,TX,Dallas County,c
75114,Crandall,TX,Kaufman County,
75115,Desoto,TX,Dallas County,c
75116,Duncanville,TX,Dallas County,b
75118,Elmo,TX,Kaufman County,
75119,Ennis,TX,Ellis County,
75120,Ennis,TX,Ellis County,
75121,Copeville,TX,Collin County,
75123,Desoto,TX,Dallas County,c
75125,Ferris,TX,Ellis County,
75126,Forney,TX,Kaufman County,
75132,Fate,TX,Rockwall County,
75134,Lancaster,TX,Dallas County,c
75135,Caddo Mills,TX,Hunt County,
75137,Duncanville,TX,Dallas County,b
75138,Duncanville,TX,Dallas County,b
75141,Hutchins,TX,Dallas County,
75142,Kaufman,TX,Kaufman County,
75146,Lancaster,TX,Dallas County,c
75147,Mabank,TX,Kaufman County,
75149,Mesquite,TX,Dallas County,c
75150,Mesquite,TX,Dallas County,c
75152,Palmer,TX,Ellis County,
75154,Red Oak,TX,Ellis County,
75157,Rosser,TX,Kaufman County,
75158,Scurry,TX,Kaufman County,
75159,Seagoville,TX,Dallas County,
75160,Terrell,TX,Kaufman County,
75161,Terrell,TX,Kaufman County,
75164,Josephine,TX,Collin County,
75165,Waxahachie,TX,Ellis County,
75166,Lavon,TX,Collin County,
75167,Waxahachie,TX,Ellis County,
75168,Waxahachie,TX,Ellis County,
75172,Wilmer,TX,Dallas County,
75173,Nevada,TX,Collin County,
75180,Balch Springs,TX,Dallas County,
75181,Mesquite,TX,Dallas County,c
75182,Sunnyvale,TX,Dallas County,c
75185,Mesquite,TX,collin County,c
75187,Mesquite,TX,Dallas County,c
75189,Royse City,TX,Rockwall County,
75201,Dallas,TX,Dallas County,a
75202,Dallas,TX,Dallas County,a
75203,Dallas,TX,Dallas County,a
75204,Dallas,TX,Dallas County,a
